GAL,Uniprot,Annotation
CD9,P21926,t cell*b cell*macrophage*monocyte*granulocyte*platelet*endothelial cell*epithelial cell
DRAP1,Q14919,t cell*b cell*macrophage*monocyte*granulocyte*platelet*endothelial cell*epithelial cell*megakaryocyte*dendritic cell
MME,P08473,b cell*granulocyte*endothelial cell*intestine*bonemarrow*seminal*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
ITGAD,Q13349,macrophage*monocyte*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*t cells
ANPEP,P15144,t cell*stem cell*precursor*macrophage*monocyte*granulocyte*endothelial cell*epithelial cell*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
CD14,P08571,macrophage*monocyte*granulocyte*nk cell monocyte*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*hofbauer*plasma cell*b cell*dendritic cell*erythroid cell*kupffer*nk cell*cell*t cells
FUT4,P22083,stem cell*precursor*macrophage*monocyte*granulocyte*bonemarrow*seminal*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
CD19,P15391,b cell*dendritic cell*stem cell*precursor*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*erythroid cell*kupffer*macrophage*nk cell*cell*granulocyte*t cells*monocyte
CD22,P20273,b cell*stem cell*precursor*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*granulocyte*t cells*monocyte
CD24,P25063,b cell*granulocyte*epithelial cell*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
IL2RA,P01589,t cell*b cell*nk cell*macrophage*monocyte*adipose*t cells
CD27,P26842,t cell*b cell*nk cell*t cell cd4*t cell cd8*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*plasma cell*dendritic cell*erythroid cell*kupffer*macrophage*cell*granulocyte*t cells*monocyte
CD28,P10747,t cell*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*t cells*monocyte
ITGB1,P05556,t cell*b cell*dendritic cell*nk cell*stem cell*precursor*macrophage*monocyte*granulocyte*platelet*endothelial cell*epithelial cell
TNFRSF8,P28908,t cell*b cell*nk cell*stem cell*precursor*macrophage*monocyte*endothelial cell*adipose
PECAM1,P16284,t cell*b cell*nk cell*macrophage*monocyte*granulocyte*platelet*endothelial cell*nk cell monocyte*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
FCGR2A,P12318,b cell*macrophage*monocyte*granulocyte*platelet*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
FCGR2B,P31994,t cell*b cell*macrophage*monocyte*granulocyte*platelet*endothelial cell*megakaryocyte*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*nk cell*cell*t cells
FCGR2C,P31995,nk cell*macrophage*monocyte*granulocyte*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
CD33,P20138,dendritic cell*stem cell*precursor*granulocyte*megakaryocyte*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*monocyte
CD34,P28906,stem cell*precursor*macrophage*monocyte*endothelial cell
CR1,P17927,t cell*b cell*dendritic cell*macrophage*monocyte*granulocyte*erythrocyte*adipose
CD36,P16671,dendritic cell*stem cell*precursor*macrophage*monocyte*platelet*erythrocyte*endothelial cell*megakaryocyte*nk cell monocyte*adipose*hofbauer*plasma cell*b cell*erythroid cell*kupffer*nk cell*cell*granulocyte*t cells
CD37,P11049,t cell*b cell*macrophage*monocyte*granulocyte*megakaryocyte*dendritic cell*nk cell monocyte*nk t cell*t cell cd4*t cell cd8*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
CD38,P28907,t cell*b cell*dendritic cell*nk cell*stem cell*precursor*macrophage*monocyte*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*plasma cell*erythroid cell*kupffer*cell*granulocyte*t cells
CD40,P25942,b cell*dendritic cell*stem cell*precursor*macrophage*monocyte*endothelial cell*epithelial cell*erythroid cell*kupffer*nk cell*cell*granulocyte*t cells
ITGA2B,P08514,stem cell*precursor*platelet*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*erythroid cell*kupffer*macrophage*nk cell*cell*granulocyte*t cells*monocyte
GP9,P14770,stem cell*precursor*platelet*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
SPN,O75398,t cell*b cell*nk cell*stem cell*precursor*macrophage*monocyte*granulocyte*platelet*megakaryocyte*dendritic cell*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
CD44,P16070,t cell*b cell*nk cell*macrophage*monocyte*granulocyte*erythrocyte*endothelial cell*epithelial cell*megakaryocyte*nk cell monocyte*nk t cell*t cell cd4*t cell cd8*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
PTPRC,P08575,t cell*b cell*dendritic cell*nk cell*stem cell*precursor*macrophage*monocyte*t cell*b cell*dendritic cell*nk cell*stem cell*precursor*macrophage*monocyte*granulocyte*t cell*b cell*dendritic cell*nk cell*stem cell*precursor*macrophage*monocyte*t cell*b cell*dendritic cell*nk cell*stem cell*precursor*macrophage*monocyte*granulocyte*megakaryocyte*nk cell monocyte*nk t cell*t cell cd4*t cell cd8*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
CD46,P15529,t cell*b cell*nk cell*macrophage*monocyte*granulocyte*platelet*endothelial cell*epithelial cell
CD47,Q08722,t cell*b cell*nk cell*macrophage*monocyte*granulocyte*platelet*erythrocyte*endothelial cell*epithelial cell*megakaryocyte*dendritic cell
CD48,P09326,t cell*b cell*dendritic cell*nk cell*stem cell*precursor*macrophage*monocyte*megakaryocyte*nk cell monocyte*nk t cell*t cell cd4*t cell cd8*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
ITGA2,P17301,t cell*b cell*nk cell*stem cell*precursor*macrophage*monocyte*platelet*endothelial cell*epithelial cell
ITGA4,P13612,t cell*b cell*dendritic cell*nk cell*stem cell*precursor*macrophage*monocyte*endothelial cell*megakaryocyte*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
GPI,P06744,t cell*stem cell*precursor*macrophage*monocyte*platelet*endothelial cell*epithelial cell*megakaryocyte
ICAM3,P32942,t cell*b cell*nk cell*stem cell*precursor*macrophage*monocyte*granulocyte*endothelial cell*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
CD52,P31358,t cell*b cell*dendritic cell*nk cell*macrophage*monocyte*granulocyte*epithelial cell*megakaryocyte*nk cell monocyte*nk t cell*t cell cd4*t cell cd8*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
CD53,P19397,t cell*b cell*nk cell*stem cell*precursor*macrophage*monocyte*granulocyte*megakaryocyte*dendritic cell*nk cell monocyte*nk t cell*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
ICAM1,P05362,t cell*b cell*macrophage*monocyte*endothelial cell*megakaryocyte*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
CD55,P08174,t cell*b cell*nk cell*macrophage*monocyte*granulocyte*platelet*erythrocyte*endothelial cell*epithelial cell*megakaryocyte*nk cell monocyte
CD58,P19256,t cell*b cell*dendritic cell*nk cell*macrophage*monocyte*granulocyte*erythrocyte*endothelial cell*epithelial cell*megakaryocyte*langerhans*hofbauer*plasma cell*erythroid cell*kupffer*cell*t cells
CD59,P13987,t cell*nk cell*macrophage*monocyte*granulocyte*erythrocyte
CD63,P08962,t cell*b cell*nk cell*macrophage*monocyte*granulocyte*platelet*endothelial cell*megakaryocyte*dendritic cell
LAMP3,Q9UQV4,t cell*b cell*nk cell*macrophage*monocyte*granulocyte*platelet*endothelial cell*lung*skin*adrenal*tongue*esophagus*ovary*endometrium*breast*kidney*intestine*bonemarrow*seminal*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
CEACAM1,P13688,granulocyte*epithelial cell*intestine*bonemarrow*seminal*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
CEACAM8,P31997,granulocyte*bonemarrow*seminal*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
CEACAM6,P40199,granulocyte*epithelial cell*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
CEACAM3,P40198,granulocyte*bonemarrow*seminal*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
DHFRP2,,epithelial cell
CD68,P34810,t cell*b cell*dendritic cell*stem cell*precursor*macrophage*monocyte*granulocyte*megakaryocyte*nk cell monocyte*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*nk cell*cell*t cells
CD69,Q07108,t cell*b cell*nk cell*macrophage*monocyte*granulocyte*platelet*dendritic cell*nk t cell*t cell cd4*t cell cd8*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*t cells
CD70,P32970,t cell*b cell*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*t cells*monocyte
TFRC,P02786,stem cell*precursor*endothelial cell*monocyte
CD72,P21854,stem cell*precursor*macrophage*monocyte*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
NT5E,P21589,t cell*b cell*dendritic cell*stem cell*precursor*endothelial cell*epithelial cell*cervix*lung*skin*adrenal*tongue*esophagus*ovary*endometrium*breast*kidney*intestine*bonemarrow*seminal*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
CD74,P04233,t cell*b cell*dendritic cell*macrophage*monocyte*endothelial cell*epithelial cell*megakaryocyte*nk cell monocyte*nk t cell*t cell cd4*t cell cd8*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*nk cell*cell*granulocyte*t cells
ST6GAL1,P15907,b cell*macrophage*monocyte*erythrocyte*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*kupffer*nk cell*cell*granulocyte*t cells
CD79A,P11912,b cell*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*dendritic cell*erythroid cell*kupffer*macrophage*nk cell*cell*granulocyte*t cells*monocyte
CD79B,P40259,b cell*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*dendritic cell*erythroid cell*kupffer*macrophage*nk cell*cell*granulocyte*t cells*monocyte
CD80,P33681,t cell*b cell*dendritic cell*macrophage*monocyte*t-lymphocyte*cytokine*t-cell*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
CD81,P60033,t cell*b cell*dendritic cell*nk cell*stem cell*precursor*macrophage*monocyte*endothelial cell*epithelial cell
CD82,P27701,t cell*b cell*nk cell*stem cell*precursor*macrophage*monocyte*granulocyte*platelet*endothelial cell*epithelial cell*t cells
CD83,Q01151,b cell*dendritic cell*megakaryocyte*bonemarrow*seminal*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*monocyte
CD84,Q9UIB8,t cell*b cell*dendritic cell*nk cell*macrophage*monocyte*platelet*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*t cells
LILRB2,Q8N423,dendritic cell*macrophage*monocyte*granulocyte*nk cell monocyte*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
LILRB5,O75023,dendritic cell*stem cell*precursor*macrophage*monocyte*granulocyte*adipose*nk cell*cell*t cells
LILRA5,A6NI73,t cell*b cell*dendritic cell*macrophage*monocyte*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
CD86,P42081,t cell*b cell*dendritic cell*macrophage*monocyte*endothelial cell*megakaryocyte*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
PLAUR,Q03405,t cell*nk cell*macrophage*monocyte*granulocyte*endothelial cell*megakaryocyte*nk cell monocyte*bonemarrow*seminal*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
FCAR,P24071,macrophage*monocyte*granulocyte*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
THY1,P04216,stem cell*precursor*endothelial cell*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
LRP1,Q07954,macrophage*monocyte*epithelial cell*adipose
SLC44A1,Q8WWI5,t cell*b cell*macrophage*monocyte*granulocyte*endothelial cell*epithelial cell*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
CD93,Q9NPY3,macrophage*monocyte*granulocyte*endothelial cell*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
KLRD1,Q13241,t cell*nk cell*dendritic cell*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*cell*granulocyte*t cells*monocyte
FAS,P25445,t cell*b cell*nk cell*macrophage*monocyte*granulocyte
FASLG,P48023,t cell*b cell*nk cell*macrophage*monocyte*granulocyte*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*t cells
CD96,P40200,t cell*nk cell*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*t cells*monocyte
SLC3A2,P08195,t cell*b cell*nk cell*macrophage*monocyte*granulocyte*platelet*endothelial cell*epithelial cell*megakaryocyte
CD99,P14209,t cell*b cell*nk cell*stem cell*precursor*macrophage*monocyte*platelet*erythrocyte*endothelial cell*epithelial cell*megakaryocyte*dendritic cell*nk cell monocyte*nk t cell*t cell cd4*t cell cd8
SEMA4D,Q92854,t cell*b cell*nk cell*macrophage*monocyte*granulocyte*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
CD101,Q93033,t cell*dendritic cell*macrophage*monocyte*granulocyte*bonemarrow*seminal*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
ICAM2,P13598,t cell*b cell*macrophage*monocyte*endothelial cell*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
ITGAE,P38570,t cell*megakaryocyte*bonemarrow*seminal*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
ITGB4,P16144,stem cell*precursor*endothelial cell*epithelial cell*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
VCAM1,P19320,endothelial cell*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*kupffer*macrophage*nk cell*cell*granulocyte*t cells*monocyte
LAMP1,P11279,t cell*granulocyte*platelet*endothelial cell*dendritic cell
LAMP2,P13473,t cell*granulocyte*platelet*endothelial cell
SEMA7A,O75326,t cell*b cell*erythrocyte*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*dendritic cell*erythroid cell*kupffer*macrophage*nk cell*cell*granulocyte*t cells*monocyte
CD109,Q6YHK3,t cell*stem cell*precursor*platelet*endothelial cell*parathyroid*pituitary*adipose
MPL,P40238,stem cell*precursor*platelet*endothelial cell*epithelial cell*erythroid cell*kupffer*macrophage*nk cell*cell*granulocyte*t cells*monocyte
NECTIN1,Q15223,stem cell*precursor*macrophage*monocyte*platelet*erythrocyte*endothelial cell*epithelial cell*esophagus*ovary*endometrium*breast*kidney*intestine*bonemarrow*seminal*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
NECTIN2,Q92692,stem cell*precursor*macrophage*monocyte*platelet*endothelial cell*epithelial cell*langerhans*hofbauer*plasma cell*b cell*dendritic cell*erythroid cell*kupffer*nk cell*cell*granulocyte*t cells
NECTIN3,Q9NQS3,epithelial cell*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
CSF3R,Q99062,stem cell*precursor*macrophage*monocyte*granulocyte*platelet*endothelial cell*megakaryocyte*nk cell monocyte*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
CSF1R,P07333,stem cell*precursor*macrophage*monocyte*megakaryocyte*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
LIFR,P42702,epithelial cell
IL2RB,P14784,t cell*b cell*nk cell*macrophage*monocyte*dendritic cell*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*t cells
IL5RA,Q01344,b cell*granulocyte*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*t cells*monocyte
IL7R,P16871,t cell*stem cell*precursor*macrophage*monocyte*nk t cell*t cell cd4*t cell cd8*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*t cells
IL6ST,P40189,t cell*b cell*nk cell*stem cell*precursor*macrophage*monocyte*granulocyte*endothelial cell
